referencia;designacao;localizacao
861177;CAPA PARA SUPORTE DE COMPASSO NX 6/150 CASTANHA;
861197;CAPA PARA SUPORTE DE COMPASSO NX 6/150 BRANCA;
86141G;MOTOR GEZE E350N/230V PIST.ABERTURA 300MM - PRATA;
86151;MOTOR GEZE E350N/230 V PIST.REC.700MM- PRATA;
861560;DOBRADIÇA PB10 ESQ EIXO 13MM - PRETA;
861561;DOBRADIÇA PB10 DTº EIXO 13MM - PRETA;F5P2
861564;CALÇO PARA CARRO ELEVAVEL;A2.B.1.2
861569;CALÇO PARA FECHO VERTICAL ELEVAVEL;A2.B.1.2
861941;DOBRADIÇA PORTA 150 P 17-20.5 PRETA;ES9P1
861942;DOBRADIÇA PORTA 150 P 20-23.5 PRETA;F3P1
862360;PROLONGADOR HORIZONTAL SUP./INF. 1500-1660 1 K PATIO INOWA;
862361;PROLONGADOR HORIZONTAL SUP./INF. 1661-1910 1 K PATIO INOWA;
862362;PROLONGADOR HORIZONTAL SUP./INF. 2111-2260 2 K PATIO INOWA;
862363;PROLONGADOR HORIZONTAL SUP./INF. 2461- 2660 2 K PATIO INOWA;
862364;PROLONGADOR MV 130 1 K;
862366;TIRANTE NX 600 1 K PROLONGAVEL PATIO INOWA;
862367;CARRO INFERIOR PATIO INOWA  400 KG - ESQUERDO;
862368;CARRO INFERIOR PATIO INOWA  400 KG - DIREITO;
862371;GUIA SUPERIOR FOLHA PATIO INOWA 400 KG - ESQUERDA;
862372;GUIA SUPERIOR FOLHA PATIO INOWA 400 KG - DIREITA;
862376;DOBRADIÇA 150R.I EIXO 13MM BRANCO RAL 9016;
862377;DOBRADIÇA 150R.I EIXO 13MM INOX;FS5P6
862390;ELEMENTO FECHO ARO VENTILAÇAO ELEVT. 13.5MM;DS6P6
862395;ELEMENTO FECHO FOLHA PATIO INOWA 400 KG ESQUERDO;
862396;ELEMENTO FECHO FOLHA PATIO INOWA 400 KG DIREITO;
862558;CAPA PARA SUPORTE DE COMPASSO NX PRETA;A2.B.6.2
862561;CAPA PARA SUPORTE DE COMPASSO NX 7016;A2.B.1.2
862562;CAPA PARA SUPORTE DE COMPASSO NX 6/150 PRETA;
8716;REFORÇO ARO/FOLHA GEALAN 8000 U 28.5X28.5X1.5;
879281SFS;DOBRADIÇA CACHIMBO SFS FEMEA BRANCA;CILINDROS P4
8800B;BARRA PARA FECHADURA  ANTIPANICO;
8801B;KIT ANTIPANICO 1 PONTO - P/ALUMINIO;
8801BP;KIT ANTIPANICO 1 PONTO - P/PVC;CS16P1
8801BPE;KIT ANTIPANICO 1 PONTO - P/PVC - TRINCO ELETRICO;
8802B;KIT ANTIPANICO 2 PONTOS P/ALUMINIO;
8802DB;KIT ANTIPANICO 2 PONTOS - CAPA ALU - P/ALUMINIO;PAREDE
8802DBL;KIT ANTIP.2 PONTOS COFRES LAT. - CAPA ALU - P/ALUMINIO;
8802DBP;KIT ANTIPANICO 2 PONTOS - CAPA ALU - P/PVC;CS16P1
8802DBPL;KIT ANTIP.2 PONTOS COFRES LAT. - CAPA ALU - P/PVC;CS16P1
8803B;KIT ANTIPANICO 3 PONTOS P/ALUMINIO;
8803DB;KIT ANTIPANICO 3 PONTOS - CAPA ALU P/ALUMINIO;PAREDE
8803DBE;KIT ANTIPANICO 3 PONTOS - CAPA ALU P/ALUMINIO - TRINCO ELET.;
8803DBL;KIT ANTIP.3 PONTOS COFRES LAT. - CAPA ALU - P/ALUMINIO;PAREDE
8803DBP;KIT ANTIPANICO 3 PONTOS - CAPA ALU - P/PVC;PAREDE
8803DBPL;KIT ANTIP.3 PONTOS COFRES LAT. - CAPA ALU - P/PVC;
8814B37;KIT ANTIPANICO 1 PONTO - P/ALUMINIO - PRETO;
8814B37P;KIT ANTIPANICO 1 PONTO - P/PVC - PRETO;
8814B58;KIT ANTIPANICO 1 PONTO - P/ALUMINIO - BRANCO;
8814B58P;KIT ANTIPANICO 1 PONTO - P/PVC - BRANCO;
8814BG6;KIT ANTIPANICO 1 PONTO - P/ALUMINIO - PRATA;
8814BG6P;KIT ANTIPANICO 1 PONTO - P/PVC - PRATA;
8815B37;KIT ANTIPANICO 2 PONTOS - P/ALUMINIO - PRETO;A2.A2
8815B37P;KIT ANTIPANICO 2 PONTOS - P/PVC - PRETO;A2.A2.P1
8815B58;KIT ANTIPANICO 2 PONTOS - P/ALUMINIO - BRANCO;A2.A2.P1
8815B58P;KIT ANTIPANICO 2 PONTOS - P/PVC - BRANCO;A2.P1
8815BG6;KIT ANTIPANICO 2 PONTOS - P/ALUMINIO - PRATA;
8815BG6P;KIT ANTIPANICO 2 PONTOS - P/PVC - PRATA;
8816B37;KIT ANTIPANICO 3 PONTOS - P/ALUMINIO - PRETO;
8816B37P;KIT ANTIPANICO 3 PONTOS - P/PVC - PRETO;
8816B58;KIT ANTIPANICO 3 PONTOS - P/ALUMINIO - BRANCO;
8816B58P;KIT ANTIPANICO 3 PONTOS - P/PVC - BRANCO;
8816BG6;KIT ANTIPANICO 3 PONTOS - P/ALUMINIO - PRATA;
8816BG6P;KIT ANTIPANICO 3 PONTOS - P/PVC - PRATA;
8816BL37;KIT ANTIPANICO 3 PONTOS LATERAIS - P/ALUMINIO - PRETO;A2.A2
8816BL37P;KIT ANTIPANICO 3 PONTOS LATERAIS - P/PVC - PRETO;A2.P1
8816BL58;KIT ANTIPANICO 3 PONTOS LATERAIS - P/ALUMINIO - BRANCO;A2.A2
8816BL58P;KIT ANTIPANICO 3 PONTOS LATERAIS - P/PVC - BRANCO;A2.P1
8816BLG6;KIT ANTIPANICO 3 PONTOS LATERAIS - P/ALUMINIO - PRATA;
8816BLG6P;KIT ANTIPANICO 3 PONTOS LATERAIS - P/PVC - PRATA;
8821B;KIT ANTIPANICO PUSH 1 PONTO - P/ALUMINIO;
8894A37;KIT VERTICAL ANTIPANICO PUSH - P/ALUMINIO PRETO;
890955;ELEMENTO FECHO ARO ELEVAVEL DLO 20 MM;
891312;VEDANTE DEVENTER  S 7482 SW CANTO SOLDADO;A2.B3P2
891328;MANETE SIMPLES DE PORTA EXTERIOR -  PRATA;D6P7
891329;MANETE SIMPLES DE PORTA EXTERIOR -  CASTANHA;D6P7
891341;MANETE SIMPLES DE PORTA EXTERIOR -  TITAN;D6P7
891342;MANETE SIMPLES DE PORTA EXTERIOR -  BRANCA;D6P7
891343;MANETE SIMPLES DE PORTA EXTERIOR - PRETA;DS5P4
891368;CARRO INFERIOR ESTABILIZADOR PATIO INOWA  400 KG - ESQUERDO;
891369;CARRO INFERIOR ESTABILIZADOR PATIO INOWA  400 KG - DIREITO;
891613;ADAPTADOR ELEMENTO DE CONTACTO ELETRICO MVS INOWA VDS B;
891614;ELEMENTO FECHO MVS PATIO INOWA PVC;
891718;ELEM.FECHO BASC. ARO NX REHAU TF ESQ;C11P2
891719;ELEM.FECHO BASC. ARO NX REHAU TF DTº;CS1P3
891741;ELEM.FECHO BASC. ARO NX CORTIZO / SALAMANDER TF ESQº;D9P5
891742;ELEM.FECHO BASC. ARO NX CORTIZO / SALAMANDER TF DT;D9P5
891743;ELEM.FECHO BASC. ARO NX SCHUCO CT 70 TF DTº;CS12P4
891744;ELEM.FECHO BASC. ARO NX SCHUCO CT 70 TF ESQ;CS12P4
891745;ELEM.FECHO BASC.ESQ.TF KBE 70 / KOMMERLIG 76;CS9P3
891746;ELEM.FECHO BASC.DTº TF KBE 70 / KOMMERLIG 76;A2.B.1.2
891747;ELEM.FECHO BASC. ARO NX ALUPLAST 4/5/6000 TF ESQº;C3P3
891748;ELEM.FECHO BASC. ARO NX ALUPLAST 4/5/6000 TF DTº;A3.OB1
893599;ACESS. P/SOLEIRA SCHUCO CT70 - PRATA;F6P1
89404G;MSW ACOPL. GUIA;
894287;PEÇA DE AFINAÇAO DA DOBRADIÇA C7.140 SOLID C PRETA;
894423;DOB.PORTA PS27 20-23,5/105-39 PRATA;
894426;DOB.PORTA PS27 17-20,5/105-42 PRATA;F2P1
894435;DOBRADIÇA PORTA 150 P 17-20.5 PRATA;F2P1
894436;DOBRADIÇA PORTA 150 P 20-23.5 PRATA;F3P1
894437;DOBRADIÇA PORTA 150 P 14-17.5 PRATA;
894965;CAPA PARA COMPASSO NX PRETA;C11P2
895004;FECHO DE CORRER GEALAN DTº;F5P3
895005;FECHO DE CORRER GEALAN ESQ.;F6P3
895766;BITOLA MVS PATIO INOWA PVC SISTEMA A;
896118;COMPASSO PARA JANELAS REDONDAS 1V NX 12/20/13;FS1P4
8963;FECHO BANDEIRA - PRETO;
896301;CAPA P/PINGADEIRA DESIGN - 2 FOLHAS - AD PRATA DTª;CS9P4
896306;CAPA P/PINGADEIRA DESIGN - 2 FOLHAS - AD PRATA ESQª;CS9P4
896307;CAPA P/PINGADEIRA AD I - IV PRATA;
896324;ELEMENTO FECHO LATERAL PROFIALIS PERFORMANCE;A2 CX13
896745;CONTROLO ACESSO CODIGO/APP /BIOMETRICO/RFD;F3P4
896784;MANETE ROTOLINE C/CHAVE TF 40 MM PRETA;CS10P3
896806;MANETE ROTOSWING - SECUSTIK PRETA 43 MM;
897004;ELEMENTO FECHO LATERAL NX SALAMANDER PROEVOLUTION 72;D6P7
897080;ELEMENTO FECHO LATERAL SEGURANÇA NX SALAMANDER PROEV.72;D6P7
897128;CALÇO PARA CLICK MAGNETICO 13MM NX;A2 CX13
897734;"PERFIL ADAPTADOR ARO PATIO INOWA SALAMANDER 5800 MM
PRATA";A2.PAL5
897735;"PERFIL ADAPTADOR FOLHA PATIO INOWA SALAMANDER 5800 MM
PRATA";A2.PAL5
897737;GUIA SUPERIOR PATIO INOWA SALAMANDER 5800 MM PRATA;A2.PAL5
897738;GUIA INFERIOR PATIO INOWA SALAMANDER 5800 MM PRATA;A2.PAL5
897739;ELEMENTO FECHO P/CREMONA  PATIO INOWA SALAMANDER ESQº;
897741;"ELEMENTO FECHO P/CREMONA F.MANOBRA P. INOWA SALAMANDER
ESQº";
897743;BITOLA PARA ELEMENTO FECHO FOLHA PATIO INOWA SALAMANDER;
897744;BITOLA PATIO INOWA SALAMANDER;
8985G;ACESSORIO P/UNIAO DE MANIVELA;CS6P2
899512;GUIA SUPERIOR ELEVAVEL PATIO LIFT;
899520;CONJUNTO CARROS ELEV. ROTO 300KG;CS7P1
899521;CONJUNTO CARROS ELEV. ROTO 400KG;A2 CX5
899526;CONJUNTO PARAFUSOS DE FIXAÇAO PARA VARAO (8MM) PATIO LIFT;CS16P4
899545;CALÇO / SUPLEMENTO HORIZONTAL PARA CARRO PATIO LIFT 8,2MM;
899556;DOBRADIÇA OCULTA FOLHA IV C7.140 SOLID C PRATA;DS8P5
899557;PEÇA DE AFINAÇAO DA DOBRADIÇA C7.140 II SOLID C PRATA;D8P5
899630;MANETE VERMELHA (AFINAÇAO) - NX;CACIFO P1
899633;MOTOR E-TEC DRIVE SMART ESQ;
899634;MOTOR E-TEC DRIVE SMART DTº;
899669;ELEMENTO FECHO P/CREMONA  PATIO INOWA SALAMANDER DTº;
899721;"ELEMENTO FECHO P/CREMONA F.MANOBRA P. INOWA SALAMANDER
DTº";
9000011600;TAMPA PLASTICA P/RA-P 14.5 RAL 9010;
9000013600;TAMPA PLASTICA P/RA-P 14.5 RAL 9011;
9000060086;CINTA DE TRANSPORTE;A2.B.2.2
9000080044;PONTEIRA P/APARAFUSAR PH2 M5x45 MM;
9000080047;PONTEIRA P/APARAFUSAR PH2 M5x33 MM;
90023300;PARAFUSO P/VERTE AGUAS C/ANILHA PLASTICA 4,2X20;
904101SFS;DOBRADIÇA CACHIMBO SFS MACHO BRANCA;CILINDROS P4
918946;SOLEIRA PATIO LIFE 3300MM;
92398G;UNIDADE CONTROLE 12 V;
95137G;GUIA P/MOLA BOXER S/RETENÇAO;
95141G;GUIA P/MOLA BOXER C/RETENÇAO;GEZE P1
9788G;PIVOT P/PORTAS SEM DOBRADIÇAS ATÉ 250KG;GEZE P1
9927991H;ESPELHO CEGO P/ PORTA ENTRADA BRONZE - HOPPE;CX7
99677G;BATERIA EMERGENCIA ECONODRIVE 12V;
99728G;MOLA GEZE BOXER (OCULTA) PARA PORTA FORÇA 2-4;GEZE P8
99735G;MOLA GEZE BOXER EN 3-6 P/PORTA BAT. - VAI/VEM;
A.40017.05.12;CALHA DE FECHO P/PASSADOR AGB;
A208S20;BITOLA DOBRADIÇA ANNUBA 100MM;
A212S10;DOBRADIÇA ANUBA 75 MM BRANCA;
A212S13;DOBRADIÇA ANNUBA 75MM  BRANCA;
A212S20;DOBRADIÇA ANNUBA 100MM  BRANCA;
A212S23;DOBRADIÇA ANNUBA 100 MM BRANCA C/ EIXO INOX;
A212S71;DOBRADIÇA ANNUBA REGULAVEL BRANCA;
A242S10;DOBRADIÇA ANNUBA  75MM CASTANHA;
A242S20;DOBRADIÇA ANNUBA 100MM CASTANHA;
A242S23;DOBRADIÇA ANNUBA 100MM CASTANHA C/PARAFUSO;
AB-314;INSTRUÇOES DE MONTAGEM ALU 540 OB;
AB-528;CATALOGO E PLANO DE MONTAGEM PATIO 6080;
AB-529;PLANO DE MONTAGEM PVC E MADEIRA PATIO 3-150/Z;
AB-530;PLANO DE MONTAGEM PVC E MADEIRA PATIO 3-130/S;
AB-541-1E;ESQUEMA DE MONTAGEM PATIO LIFE;
AV-PP-0118-7016;VENTILADOR 7016;D3P5
AV-PP-0118-9005;VENTILADOR PRETO 9005;D3P5
AV-PP-0118-9006;VENTILADOR PRATA 9006;D3P5
AV-PP-0118-9016;VENTILADOR BRANCO 9016;D4P5
B219S11;MANETE / MANETE BRANCO 8/92;
B219S12R;MANETE INTERIOR / PUXADOR EXTERIOR  BRANCA HOPPE;
B219S23;MANETE / MANETE REBAIXADA BRANCA;
B249S11;MANETE INTERIOR / MANETE EXTERIOR CASTANHA HOPPE;
B249S12R;MANETE INTERIOR / PUXADOR EXTERIOR CASTANHA HOPPE;
B299S30;MANETE INTERIOR / PUXADOR EXTERIOR LATÃO MACIÇO HOPPE;
B299S31;MANETE INTERIOR / MANETE EXTERIOR LATÃO MACIÇO HOPPE;
C229S01;RODA PARA JANELAS DE CORRER;
C229S03;RODA PARA JANELA DE CORRER;
C229S05;RODA PARA JANELA DE CORRER;
CALCHT;CALÇO RETIFICATIVO PARA CHAPA TESTAS;C14P6
CALCHT-G;CALÇO DE SUPORTE PARA CHAPA TESTAS;DS9P4
CF030130H021-O;DOB.CACHIMBO 2 PERNOS FEM. ZINC. D13-L16.5;CX8
CF057130H001-O;DOB.CACH.2 PERN.EXATA 2 FEM. ZINC. D13 REGUL.;
CF483160H510-O;DOBRADIÇA BIXATA 3D FEMEA ZINC./PRAT. D16X38 - ESQUERDA;
CF483160H511-O;DOBRADIÇA BIXATA 3D FEMEA ZINC./PRAT. D16X38 - DIREITA;
CF486160H511;DOBRADIÇA BIXATA 3D FEMEA ZINC./PRAT. D16X38 - DIREITA;
CF495140H519-O;DOB.EXATA 3D FEMEA ZINC./PRAT. D14-L38;CILINDROS P4
CF495160H102-O;DOB.EXATA 3D FEMEA DOURADA D16-L38;
CF495160H502-O;DOB.EXATA 3D FEMEA ZINC./PRAT. D16-L38;CILINDROS P4
CF530110H006-O;DOB.CACHIMBO 2 PERNOS FEM. ZINC. D11-L14,5;CX 4
CFP39130P313-O;DOB.CACHIMBO 2 PERNOS MACHO ZINC. D13X46.5 - BRANCO;
CFP39130P316-O;DOB.CACHIMBO 2 PERNOS MACHO ZINC. D13X46.5 - BRANCO;
CG030130H023-O;DOB.CACHIMBO 2 PERNOS MACHO ZINC. D13-L19;CX8
CG055130H022-O;DOB.CACH.2 PERN.EXATA 1 MACHO ZINC. D13;
CG057130H003-O;DOB.CACH.2 PERN.EXATA 2 MACHO ZINC. D13 REGUL.;
CG482160H504-O;DOBRADIÇA BIXATA 3D MACHO ZINC./PTAT. D16X90;
CG495140H502-O;DOB.EXATA 3D MACHO ZINC./PTAT. D14-L63;CILINDROS P4
CG495160H102-O;DOB.EXATA 3D MACHO DOURADA D16-L63;
CG495160H502-O;DOB.EXATA 3D MACHO ZINC./PTAT. D16-L63;CILINDROS P4
CG530110H004-O;DOB.CACHIMBO 2 PERNOS MACHO ZINC. D11-L27,4;CX 4
CG95160H502-O;DOB.EXATA 3D MACHO ZINC./PTAT. D16-L63;
CGP38130P311-O;DOB.CACHIMBO 2 PERNOS FEMEA ZINC. D13X53 - BRANCO;
CGP39130P315-O;DOB.CACHIMBO 2 PERNOS FEMEA ZINC. D13X53 - BRANCO;
CI495160IL02-O;DOB.EXATA 3D FEMEA INOX D16-L38;
CI495160IM02-O;DOB.EXATA 3D MACHO INOX D16-L38;
CONTRACHAPA RTC;CONTRA-CHAPA EM ALUMINIO PARA PONTO FECHO RTC;
D212633;ELEMENTO FECHO LATERAL ALU;
D216505;ELEM.FECHO BASC. HKS 150SL ALU540;
D216632;CONJ.GUIAS ARO-FOLHA 3830 / 1681-1880 BR. 150SL/ZL;
D216634;COMPASSO + GUIA C/ CLICK 931-1280;
D216639;CARTAO BASE DTº PATIO 150 S ALU;
D217067;APOIO VARAO UNIAO PATIO 4180;
D217252;ELEM.FECHO BASC. 150ZL ALU V.01;
D217427;CARTAO BASE OSCILOPARALELA 150 ZL DTº;
D317710;CREMONA ROTOLINE PATIO 150ZL ESQ. NEGRO;
D377478;CREMONA ROTOLINE C/LOGOTIPO CAST.;
D488228;CONJ.GUIAS  ARO - FOLHA 2630 / 1081-1280 NEGRO 150 SL/ZL;
D510A20R;DOB.FOLHA ROYAL DIREITA;
DESPBANC;DESPESAS BANCÁRIAS;
DESPCOM;DESPESAS COMUNICAÇÕES;
DESPCOMIS;DESPESAS COMISSÕES;
DESPDIV;DESPESAS DIVERSAS;
DESPELE;DESPESAS ELECTRICIDADE;
DESPESP;DESPESAS TRABALHOS ESPECIALIZADOS;
DESPFER;DESPESAS FERRAMENTAS E UTENSILIOS;
DESPGAS;DESPESAS DE GASOLEO;
DESPH;DESPESAS DE HOTEL;
DESPJUROS;DESPESAS - JUROS DE MORA;
DESPLIM;DESPESAS DE LIMPEZA;
DESPMAT;DESPESAS MATERIAL DE ESCRITÓRIO;
DESPOBS;DESPESAS CONSERVAÇÃO & REPARAÇÃO;
DESPPES;DESPESAS PESSOAL;
DESPPORT;DESPESAS DE PORTAGEM;
DESPPUB;DESPESAS PUBLICIDADE & MARKETING;
DESPQUO;DESPESAS QUOTAS - ANFAJE;
DESPREF;DESPESAS DE REFEIÇAO;
DESPREP;DESPESAS DE REPRESENTAÇÃO;
DESPVIA;DESPESAS CONSERVAÇÃO & REPARAÇÃO VIATURAS TURISMO;
DIF PREÇO;DIFERENÇA DE PREÇOS;
DIVERSOS;DIVERSOS;
E05S;CREMONA DE CORRER  17 600 - 999 MM;
E06S;CREMONA DE CORRER 17 1000 - 1799MM;
E07S;CREMONA DE CORRER 17 1800 - 2400;
E08S;CREMONA C/CANHÃO;
E09S;CREMONA DE CORRER 8 600 - 900 MM;
E10S;CREMONA CORRER 8 1000 - 1799 MM;
E11S;CREMONA DE CORRER 8 1800 - 2400 MM;
E28S;CREMONA CORRER 17 240 - 599 MM;
E806C03L;CHAPA TESTA PARA MADEIRA CANAL 4 PLANO ESQ.;
E806C03R;CHAPA TESTA PARA MADEIRA CANAL 4 PLANO DTº;
E807A03L;CHAPA TESTA PARA MADEIRA CANAL 12 PLANO ESQ.;
E807A03R;CHAPA TESTA PARA MADEIRA CANAL 12 PLANO DTº.;
E809A03L;CHAPA TESTAS P/MADEIRA CANAL 7/8 ESQ.;
E809A03R;CHAPA TESTAS P/MADEIRA 18MM CANAL 7/8 DTº;
E809A29;CHAPA TESTAS;
E829A04L;CHAPA TESTAS KOMMERLING;
E829A04R;CHAPA TESTAS KOMMERLING;
E839A02L;CHAPA TESTA PLASTIVAL  ESQ.;
E866A02L;CHAPA TESTA REHAU S709/2/5/10 Dtº;
E866A02R;CHAPA TESTA REHAU S709/2/5/10 Dtº;
E866C04L;CHAPA TESTA ELECTRICO REHAU 709 Esq.;
E866C04R;CHAPA TESTA ELECTRICO REHAU 709 Dtº;
E884A16;ELEMENTO DE FECHO THYSSEN  PC;
E884C02R;CHAPA TESTA THYSSEN DTº;
E884C04L;CHAPA TESTA ELECTRICO THYSSEN  ESQ.;
E884C04R;CHAPA TESTA ELECTRICO THYSSEN  DTº;
E884D15;ELEMENTO DE FECHO THYSSEN AD;
E890A02L;CHAPA TESTA VEKA  ESQ.;
E890A02R;CHAPA TESTA VEKA DTº;
E890A04L;CHAPA TESTAS ELECTRICO VEKA L;
E901A15;ELEMENTO DE FECHO REHAU - 730;
E901C02L;CHAPA TESTA  REHAU ESQ.;
E901C02R;CHAPA TESTA REHAU DTº;
E901C04L;CHAPA TESTA ELECTRICO REHAU ESQ.;
E901C04R;CHAPA TESTA ELECTRICO DTº;
E909A02L;CHAPA TESTA DECEUNINCK ESQ.;
E909A02R;CHAPA TESTA DECEUNINCK DTº;
E909A15;CHAPA TESTA DECEUNINCK PL;
E909A16;CHAPA TESTA DECEUNINCK PC;
E909C04L;CHAPA TESTAS ELECTRICO DECEU. ESQ.;
E914A02L;CHAPA TESTA PARA 2 FOLHAS ESQ.;
E914A02R;CHAPA TESTA PARA 2 FOLHAS DTº;
E914C04L;CHAPA TESTAS ELECTRICO P/BATENTE ESQ.;
E914C04R;CHAPA TESTAS ELECTRICO P/BATENTE DTO.;
E918A02L;CHAPA TESTAS ALUPLAST ESQ.;
E918A02R;CHAPA TESTAS ALUPLAST DTº;
E926C04L;CHAPA TESTA ELECTRICO TROCAL ESQ.;
E926C04R;CHAPA TESTA ELECTRICO TROCAL DTº;
F;SERVIÇO FRESAGEM;
F010D10;COMPASSO BASCULANTE;
F502A10;GUIA DE COMPASSO  250;
F502A20;GUIA DE COMPASSO  350;
F502A30;GUIA DE COMPASSO  500 (811-1010);
F502A40;GUIA DE COMPASSO 500 (1011-1210);
F502A60;GUIAS DE COMPASSO 500 (1411-1600);
F502A70;SEGUNDO COMPASSO 1200-1600;
F515B10;;
F515B20;;
F526A12L;COMPASSO 250 ESQ.;
F526A12R;COMPASSO 250 DTº;
F526A13L;COMPASSO  350  ESQ.;
F526A13R;COMPASSO 350 DTº;
F526A15L;COMPASSO 500 ESQ.;
F526A15R;COMPASSO 500 DTº;
F710A12L;SUPORTE DE COMPASSO  12/18/9  ESQ.;
F710A12R;SUPORTE DE COMPASSO 12/18/9  DTº;
F710A13;CAPA SUPORTE COMPASSO 12/18/9 BRANCA;
F710A15;CAPA DE SUPORTE DE COMPASSO DOURADO;
F710A17L;SUPORTE COMPASSO  12/20/9  ESQ.;
F710A17R;SUPORTE COMPASSO  12/20/9  DTº;
F710A34;CAPA COMPASSO KA BRANCO;
F710A72;CAPA SUPORTE DE COMPASSO BRANCO;
F710A91;CAPA P/COMPASSO KA BRANCO;
F710D52;FIEL PARA SUPORTE DE COMPASSO;
F717A32L;COMPASSO KA 250 12/18/9 ESQ.;
F718A12L;COMPASSO K 250  12/20/9  ESQ.;
F718A12R;COMPASSO K 250 12/20/9 DTº;
F718A13L;COMPASSO K 350 12/20/9 ESQ.;
F718A13R;COMPASSO K 350 12/20/9 DTº;
F718A15L;COMPASSO 500 12/20/9 ESQ.;
F718A15R;COMPASSO 500 12/20/9 DTº;
F718A22L;COMPASSO K 250 12/20/13 ESQ.;
F718A22R;COMPASSO K 250 12/20/13 DTº;
F718A23L;COMPASSO K 350 12/20/13 ESQ.;
F718A23R;COMPASSO K 350 12/20/13 DTº;
F718A25L;COMPASSO K 500 12/20/13 ESQ.;
F718A25R;COMPASSO K 500 12/20/13 DTº;
F718A32L;COMPASSO K 250 12/18/9  L 101;
F718A32R;COMPASSO K 250 12/18/9 R 101;
F718A33L;COMPASSO KA 350 12/18/9 L101;
F718A33R;COMPASSO K 350 12/18/9 R 101;
F718A35L;COMPASSO K 500 12/18/9 ESQ. 101;
F718A35R;COMPASSO K 500 12/18/9 R 101;
F718A72L;;
F718A72R;;
F718A73L;;
F718A73R;COMPASSO 350 DTº;
F718A75L;;
F718A75R;;
FABSOLID01;DOB PORTA 150 P 14-17.5 PRETA;
FABSOLID02;DOBRADIÇA PORTA 150 P 17-20.5 PRETA;
FABSOLID03;DOBRADIÇA PORTA 150 P 20-23.5 PRETA;
G.18412.00.0.5;FECHO BALA CASTANHO C/CALÇOS;A2.B.1.2
G.18412.01.0.7;FECHO BALA BRANCO C/CALÇOS;A2.B2.2
G050102ACNAT;CREMONE ROTOLINE 2G C/LOGOTIPO R01.1;S/ STOCK
G050102BRANC;CREMONE ROTOLINE 2 GARFOS C/LOGOTIPO BRANCO;S/ STOCK
G050102PRETO;CREMONE ROTOLINE 2 GARFOS C/LOGOTIPO PRETO;DS7P5
G050113;LIMITADOR DE FLECHA;
G050122;KIT  PONTEIRAS, ENGATES E DESLIZADORES;
G050400BRANC;KIT OSCILOBATENTE 80 KG 390-700MM BRANC;
G050400BRUTO;KIT OSCILOBATENTE 80 KG 390-700MM BRUTO;
G050400PRATA;KIT OSCILOBATENTE 80 KG 390-700MM PRATA;
G050400PRETO;KIT OSCILOBATENTE 80 KG 390-700MM PRETO;
G050401BRANC;KIT OSCILOBATENTE 80 KG 701-1600MM BRANC;
G050401BRUTO;KIT OSCILOBATENTE 80 KG 701-1600MM BRUTO;
G050401PRATA;KIT OSCILOBATENTE 80 KG 701-1600MM PRATA;
G050401PRETO;KIT OSCILOBATENTE 80 KG 701-1600MM PRETO;
G050402BRANC;KIT OSCILOBATENTE 130 KG 405-600MM BRANC;
G050402BRUTO;KIT OSCILOBATENTE 130 KG 405-600MM BRUTO;
G050402PRATA;KIT OSCILOBATENTE 130 KG 405-600MM PRATA;
G050402PRETO;KIT OSCILOBATENTE 130 KG 405-600MM PRETO;
G050403BRANC;KIT OSCILOBATENTE 130 KG 601-1600MM BRANC;
G050403BRUTO;KIT OSCILOBATENTE 130 KG 601-1600MM BRUTO;
G050403PRATA;KIT OSCILOBATENTE 130 KG 601-1600MM PRATA;
G050403PRETO;KIT OSCILOBATENTE 130 KG 601-1600MM PRETO;
G050404BRANC;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 500-735 BRANCO;
G050404BRUTO;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 500-735 BRUTO;
G050404PRATA;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 500-735 PRATA;
G050404PRETO;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 500-735 PRETO;
G050405BRANC;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 500-735 BRANCO;
G050405BRUTO;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 500-735 BRUTO;
G050405PRATA;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 500-735 PRATA;
G050405PRETO;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 500-735 PRETO;
G050406BRANC;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 736-1400 BRANCO;
G050406BRUTO;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 736-1400 BRUTO;
G050406PRATA;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 736-1400 PRATA;
G050406PRETO;KIT OSCILOBATENTE DOB ESQ OCULTA 100 KG 736-1400 PRETO;
G050407BRANC;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 736-1400 BRANCO;
G050407BRUTO;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 736-1400 BRUTO;
G050407PRATA;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 736-1400 PRATA;
G050407PRETO;KIT OSCILOBATENTE DOB DTO OCULTA 100 KG 736-1400 PRETO;
G050408BRANC;KIT OSCILOBATENTE ABERTURA LOGICA BRANCO;
G050408PRATA;KIT OSCILOBATENTE ABERTURA LOGICA PRATA;
